trial,environment,location,state,year,latitude,longitude,planting_date,population,design,irrigated,notes
2015_S2C1F4_BZ15,BZD15,Bozeman,MT,2015,45.6732,-111.1541,20150424,All,AIBD,no,
2015_S2C1F4_HF15,HNY15,Ithaca1,NY,2015,42.47111,-76.43611,20150504,All,AIBD,no,
2015_S2TP_BZ15,BZD15,Bozeman,MT,2015,45.6732,-111.1541,20150424,All,AIBD,no,
2015_S2TP_CD15,HNY15,Ithaca1,NY,2015,42.47111,-76.43611,20150504,All,AIBD,no,
2015_S2TP_HT15,HTM15,Huntley,MT,2015,45.92,-108.25,20150409,S2TP,AIBD,yes,
2015_S2TP_KT15,KNY15,Ithaca2,NY,2015,42.44556,-76.44095,20150505,S2TP,AIBD,no,
2015_SPY4_S2C1F4_CR15,CRM15,Crookston,MN,2015,47.818536,-96.613366,20150416,All,AIBD,no,
2015_SPY4_S2TP_CR15,CRM15,Crookston,MN,2015,47.818536,-96.613366,20150416,All,AIBD,no,
2015_SPY4_S2TP_StP15,STP15,St_Paul,MN,2015,44.990091,-93.18324,20150416,S2TP,AIBD,no,
S2_MET_AID16,AID16,Aberdeen,ID,2016,42.95333,-112.82666,20160419,All,RCBD,yes,
S2_MET_ALV16,ALV16,Alburgh,VT,2016,45.011319,-73.308303,20160421,S2C1,RCBD,no,
S2_MET_AWI16,AWI16,Arlington,WI,2016,43.32724,-89.334503,20160425,All,RCBD,no,
S2_MET_BCW16,BCW16,Buffalo_county,WI,2016,44.3359889,-91.8369194,20160415,All,RCBD,no,
S2_MET_BZD16,BZD16,Bozeman,MT,2016,45.6732,-111.1541,20160420,All,RCBD,no,
S2_MET_BZI16,BZI16,Bozeman,MT,2016,45.6732,-111.1541,20160422,All,RCBD,yes,
S2_MET_CHM16,CHM16,Chatham,MI,2016,46.345576,-86.915621,20160505,All,RCBD,no,
S2_MET_CPE16,CPE16,Charlottetown,PE,2016,46.345318,-63.17933,20160519,S2C1,RCBD,no,
S2_MET_CRM16,CRM16,Crookston,MN,2016,47.818536,-96.613366,20160504,All,RCBD,no,
S2_MET_EON16,EON16,Elora,ON,2016,43.633333,-80.416667,20160512,All,RCBD,no,
S2_MET_FND16,FND16,Fargo,ND,2016,46.923481,-96.809311,20160429,All,RCBD,no,
S2_MET_HNY16,HNY16,Ithaca1,NY,2016,42.47111,-76.43611,20160420,All,RCBD,no,
S2_MET_KNY16,KNY16,Ithaca2,NY,2016,42.44556,-76.44095,20160428,All,RCBD,no,
S2_MET_MWI16,MWI16,Madison,WI,2016,43.070763,-89.541969,20160415,All,RCBD,no,
S2_MET_PQC16,PQC16,Princeville,QC,2016,46.118065,-71.90757,20160511,All,RCBD,no,
S2_MET_SMT16,SMT16,Sidney_MT,MT,2016,NA,NA,NA,All,RCBD,no,Lost
S2_MET_STP16,STP16,St_Paul,MN,2016,44.990091,-93.18324,20160504,All,RCBD,no,
S2_MET_WLI16,WLI16,West_lafayette,IN,2016,40.473004,-86.991187,20160322,All,RCBD,no,
S2_MET_AID17,AID17,Aberdeen,ID,2017,42.95333,-112.82666,20170412,All,RCBD,yes,
S2_MET_ALV17,ALV17,Alburgh,VT,2017,45.011319,-73.308303,20170412,S2C1,RCBD,no,
S2_MET_AWI17,AWI17,Arlington,WI,2017,43.32724,-89.334503,20170409,All,RCBD,no,
S2_MET_BCW17,BCW17,Buffalo_county,WI,2017,44.3359889,-91.8369194,20170507,All,RCBD,no,Lost
S2_MET_BZD17,BZD17,Bozeman,MT,2017,45.6732,-111.1541,20170506,All,RCBD,no,
S2_MET_CHM17,CHM17,Chatham,MI,2017,46.345576,-86.915621,20170504,All,RCBD,no,
S2_MET_COH17,COH17,Wooster,OH,2017,40.772357,-81.916437,20170418,All,RCBD,no,
S2_MET_CPE17,CPE17,Charlottetown,PE,2017,46.345318,-63.17933,20170525,S2C1,RCBD,no,
S2_MET_CRM17,CRM17,Crookston,MN,2017,47.818536,-96.613366,20170509,All,RCBD,no,
S2_MET_EON17,EON17,Elora,ON,2017,43.633333,-80.416667,20170517,All,RCBD,no,
S2_MET_FND17,FND17,Fargo,ND,2017,46.923481,-96.809311,20170412,All,RCBD,no,
S2_MET_GRO17,GRO17,Grande_rhonde_valley,OR,2017,45.5,-118,20170526,S2C1,RCBD,no,
S2_MET_HNY17,HNY17,Ithaca2,NY,2017,42.44556,-76.44095,20170501,All,RCBD,no,
S2_MET_HTM17,HTM17,Huntley,MT,2017,45.92,-108.25,20170411,All,RCBD,yes,
S2_MET_KNY17,KNY17,Ithaca1,NY,2017,42.47111,-76.43611,20170426,All,RCBD,no,
S2_MET_MWI17,MWI17,Madison,WI,2017,43.070763,-89.541969,20170408,All,RCBD,no,
S2_MET_PQC17,PQC17,Princeville,QC,2017,46.118065,-71.90757,20170512,All,RCBD,no,
S2_MET_SMT17,SMT17,Driscoll_ND,ND,2017,46.851917,-100.077694,20170426,All,RCBD,no,Lost
S2_MET_STP17,STP17,St_Paul,MN,2017,44.990091,-93.18324,20170424,All,RCBD,no,
S2_MET_WLI17,WLI17,West_lafayette,IN,2017,40.473004,-86.991187,20170326,All,RCBD,no,
