location,latitude,longitude,no. trials,no. years,no. traits
"Aberdeen, ID",42.95333,-112.82666,2,2,5
"Alburgh, VT",45.011319,-73.308303,2,2,3
"Arlington, WI",43.32724,-89.334503,2,2,14
"Bozeman, MT",45.6732,-111.1541,5,3,6
"Buffalo_county, WI",44.3359889,-91.8369194,2,2,3
"Charlottetown, PE",46.345318,-63.17933,2,2,7
"Chatham, MI",46.345576,-86.915621,2,2,6
"Crookston, MN",47.818536,-96.613366,4,3,13
"Driscoll_ND, ND",46.851917,-100.077694,1,1,1
"Elora, ON",43.633333,-80.416667,2,2,3
"Fargo, ND",46.923481,-96.809311,2,2,3
"Grande_rhonde_valley, OR",45.5,-118,1,1,5
"Huntley, MT",45.92,-108.25,2,2,6
"Ithaca1, NY",42.47111,-76.43611,4,3,4
"Ithaca2, NY",42.44556,-76.44095,3,3,14
"Madison, WI",43.070763,-89.541969,2,2,3
"Princeville, QC",46.118065,-71.90757,2,2,6
"Sidney_MT, MT",NA,NA,1,1,1
"St_Paul, MN",44.990091,-93.18324,3,3,13
"West_lafayette, IN",40.473004,-86.991187,2,2,5
"Wooster, OH",40.772357,-81.916437,1,1,3
